"original value","iso codes","scale","row count"
"Developing country context | General / Global | Generic/Global context; protected areas examples including Yellowstone, USA | Generic/global framework, not site-specific; illustrative examples drawn from UK/Scotland, Australia (Torres Strait), and eastern Indonesia; intended for diverse rewilding contexts internationally | Global | Global (22 peri-urban areas across Africa, Asia-Pacific, Europe and South America) | Global (examples from Bangladesh, UK, Netherlands, Yemen) | Global (illustrated with Murray–Darling Basin, Australia) | Global (including Europe and Wallasea Island, UK) | Global (predominantly Europe, Americas and Australia) | Global (references to UK, EU and Indonesia) | Global / multi-level | Global arid and semi-arid regions (Upper Colorado River, USA; Syr Darya, Kazakhstan; Amu Darya, Uzbekistan) | Multi-spatial (Local to International)","","global",27
"(blank) Paper ID 55 | Alaska, USA | California, USA | Klamath Basin, USA | Louisville, Kentucky, USA | Northern New Mexico, USA | Philadelphia, USA | Phoenix metropolitan area, Southwestern USA | Texas and San Antonio, USA | U.S. Great Plains (Nebraska and Montana) | USA (Columbia River Basin; Everglades) | USA (six cities) | USA (South Louisiana) | USA (Texas, South Dakota, Montana, Colorado) and international financial centres | Vermont, USA | Washington State, USA | Western United States (11 states) | Yahara Watershed, Wisconsin, USA","USA","subnational",19
"Australia; Western Australia; Point Henry Peninsula (the Peninsula) in the Great Southern Region; Shire of Jerramungup; near Bremer Bay; adjoining Fitzgerald River National Park / Fitzgerald Biosphere (p.1, Study Area Background) | Byron Shire, New South Wales, Australia | Gippsland Lakes, Australia | Goulburn Murray Irrigation District, Australia | Great Barrier Reef, Australia | Melbourne, Australia | Menindee Lakes, Australia | Metropolitan Melbourne, Australia | Murray–Darling Basin, Australia | Southern Wet Tropics, North-eastern Australia | Victoria, Australia","AUS","subnational",12
"China (Hangzhou; Shanghai) and global trends | China (Shanghai and Jiangsu) | China (Water Source Area of the Middle Route Project) | China (Yangtze River Basin) | China; four cases in China: Lu'an city (Anhui Province) and Shanghai (WeChat Service, SODA, Observe projects) (p.309-311) | Guangdong Province, China | Inner Mongolia and Qinghai Province, China | Shenzhen, China","CHN","subnational",8
"Baltic Sea (comparisons with Southern Ocean and Coral Triangle) | Baltic Sea and Laurentian Great Lakes | Great Lakes and Rio Grande–Bravo Basins, North America | Great Lakes Basin and Rio Grande–Bravo Basin | North American river basins | Southern Ocean","","transboundary",6
"Brazil (semi-arid Northeast) | Doce River watershed, Brazil | Florianópolis, Santa Catarina, Brazil | Rondônia, Brazil | São Francisco River Basin, Brazil | Vale do Paraíba Paulista (São Paulo Macrometropolis), Brazil","BRA","subnational",6
"Outer space; United States federal context | United States | USA","USA","national",6
"Europe | European Union | Five African countries | Global South (Africa and South Asia) | South Asia","","regional",5
"Gorontalo Regency, Indonesia | Gorontalo, Indonesia (Lake Limboto) | Labuan Bajo, Indonesia | South Sumatra, Indonesia | Yogyakarta and Central Java, Indonesia","IDN","subnational",5
"(blank) Paper ID 268 | Conceptual (Editorial) | Conceptual (no empirical setting) | Not reported (institutionally and contextually diverse case studies)","","conceptual",4
"England (inshore waters) | England, UK | Scotland | Scotland (Clyde and Shetland Marine Regions)","GBR","subnational",4
"Jalisco, Mexico | Metropolitan Zone of Querétaro, Mexico | Rio del Carmen watershed, Chihuahua, Mexico | Selva Lacandona, Chiapas, Mexico","MEX","subnational",4
"Odisha, India | Odisha, India (Kendrapara and Ganjam districts) | Peri-urban Chennai, India","IND","subnational",4
"(blank) Paper ID 251 | Indonesia","IDN","national",3
"British Columbia, Canada | Mackenzie River Basin, Canada | Saskatchewan, Canada","CAN","subnational",3
"International; Netherlands (Space for the River) | The Netherlands","NLD","national",3
"Japan (Seto Inland Sea) | Japan; Kumamoto Prefecture (Kuma River basin; Hitoyoshi, Yatsushiro, Kuma village, Kumamoto city, Arao, Tsunagi, Sagara); southern Japan (p.2, p.5) | Lake Biwa, Japan","JPN","subnational",3
"Kristianstad, Sweden | Kristianstads Vattenrike, Southern Sweden | Sweden (Gävleborg and municipalities)","SWE","subnational",3
"South Africa","ZAF","national",3
"Amsterdam, Netherlands | Rotterdam, The Netherlands (ZoHo)","NLD","subnational",2
"Australia","AUS","national",2
"Barcelona metropolitan area, Spain | Barcelona, Spain","ESP","subnational",2
"Belgium, England, France, Netherlands, Poland and Sweden","BEL,GBR,FRA,NLD,POL,SWE","regional",2
"Can Tho City, Mekong Delta, Vietnam | North Vam Nao, An Giang Province, Vietnamese Mekong Delta","VNM","subnational",2
"Central Nordland, Northern Norway | Norway (Troms and Finnmark counties)","NOR","subnational",2
"China","CHN","national",2
"Dnipropetrovsk region, Ukraine | Kyiv, Ukraine","UKR","subnational",2
"Ferrara,Italy | Italy (Rome)","ITA","subnational",2
"Kafue Flats, Zambia | Lusaka, Zambia","ZMB","subnational",2
