"Paper ID","Citation (Author, Year)","Title","DOI/URL","Geographical variable","Sector / policy domain","Temporal variable","Research design & method","Unit of analysis","Temporal window of observation","Definition of adaptive governance (with page no.)","Primary theoretical framework(s)","Normative stance toward AG","Enablers of AG","Challenges of AG","Evidence of AG in practice","Indicators / operationalizations","Engagement with power & politics","Engagement with equity / justice / legitimacy","Mechanisms of AG","Institutional conditions enabling AG","Institutional conditions constraining AG","Relationship with related concepts","How AG is distinguished from related concepts","Level of governance","Type of evidence supporting AG claims","Key quotation(s) + page no.","Notes / Coding comments"
"1","Al-Battat, K. R., Iyer, S. S., & Raji, B. (2025)","Navigating Climate, Innovation, and Policy Disruptions: A Systems-Based Adaptive Governance Framework for the UAE","https://doi.org/10.48161/qaj.v5n4a2068","United Arab Emirates (UAE)","Climate-health-innovation governance nexus","2015–2025; recommendations to 2050","Mixed-methods; grounded thematic analysis of expert interviews and policy documents with systems modelling (CLDs & ABM)","UAE governance architecture and three policy initiatives (Masdar City, UAE AI Strategy 2031, Dubai Clean Energy Strategy 2050)","2015–2025","Flexible strategy that changes in response to stakeholder input, policy trials, and learning-based institutional design (p.630)","Systems Thinking; Complex Adaptive Systems; Resilience Thinking","Supportive / advocated","Digital intelligence; predictive modelling; participatory platforms; stakeholder trust","Institutional fragmentation; data integration deficits; participatory gaps; adaptive capacity constraints; scalability challenges","Masdar City; UAE AI Strategy 2031; Dubai Clean Energy Strategy 2050","Reflexive regulation; experimental policy labs; social learning; polycentric institutions; stakeholder interaction platforms","Mentioned; policy fragmentation, institutional silos, centralized vs. decentralized governance, and local political economy noted (p.631, p.636, Limitations), but power/politics not a central analytical concern","Inclusive participatory processes; stakeholder trust; institutional legitimacy; concerns for migrant labourers and low-income populations","Decentralization; reflexivity; participatory engagement; polycentricity; dynamic feedback loops","Polycentric governance; cross-sector digital integration; participatory platforms","Policy silos; underutilization of AI; lack of formal stakeholder forums","Systems Thinking; Resilience Thinking","Distinguished from centralized, linear governance frameworks","National and emirate","Expert interviews; policy document analysis; systems modelling","""Governance systems are living things that can learn, self-organize, and innovate in the face of uncertainty."" (p.630)","Empirical mixed-methods UAE case"
"2","Etches, C. (2026)","Food partnerships and the tensions of adaptive governance in local food systems","https://doi.org/10.1007/s10460-026-10868-8","United Kingdom (UK)","Local food systems / governance","2019–2024","Qualitative interpretive study using a structured interpretive heuristic; documentary analysis of 1,216 governance cases and 13 follow-up interviews","Discrete ""cases of governance practice"" (1,216 cases) at the partnership level; unit is partnership-level governance activity, not individual organisations acting independently (p.8, Table 2)","2019–2024","Ability of systems to adjust processes and reconfigure institutional arrangements in response to changing social or environmental conditions (p.111)","Social-ecological systems; adaptive capacity scholarship","Critical / skeptical","Connective infrastructures; relational labour; trust-based relationships; shared commitments","Chronic resource precarity; uneven institutional architectures; fragmented pathways for influence; dependence on relational labour","Sheffield citywide food strategy; Cardiff Field to Fforc People's Assembly; Brighton & Hove Downland Advisory Panel","Seven-dimension heuristic: Collaborative structures; Scale engagement; Shared rules/strategies; Learning/participation; Accountability; Conflict navigation; Capacity/resourcing","Central analytical concern","Equity; sustainability; local empowerment; justice dimensions of urban food partnerships","Norm building; collective learning; participatory processes; relational alignment","Supportive relational infrastructures; institutional anchoring","Fragmented institutional architectures; weak integration into mainstream policy; chronic resource precarity","Food democracy; resilience; collaborative governance","Adaptive governance treated not as a prescriptive model/benchmark but as interpretive lenses on situated practice; distinguished from idealised adaptation by focusing on how capacities are ""attempted, negotiated, and constrained""; contrasts adaptiveness (absorbing shocks, coping, sustaining systems under strain) with transformation (fundamental reconfiguration), arguing adaptive work in marginal settings tends to stabilise rather than transform; positions AG as broader analytical perspective distinct from participatory governance which does not ""automatically lead to positive outcomes"" (p.3-4, p.14-15)","Local / place-based","Documentary submissions (longitudinal self-reporting) and follow-up interviews","""Adaptive governance emerges as a situated and fragile practice, with its reach and durability contingent on the governance environments in which it is embedded."" (p.109)","Qualitative empirical study of UK local food partnerships"
"3","Balaram & Dhananjay (2025)","Adaptive Governance for Disaster Risk Reduction: Lessons from Odisha","https://doi.org/10.25303/1811da057064","Odisha, India","Disaster Risk Reduction (DRR)","Pre-independence to present (2001–present emphasized)","Secondary research methodology; comprehensive literature review of academic journals, books and reports","Odisha disaster management system","Pre-independence to 2025","Political, social, economic and administrative systems that develop, manage and distribute resources in a manner that promotes resilience through collaborative, flexible and learning-based issue management across scales (pp.251–252)","Sendai Framework for Disaster Risk Reduction (SFDRR); Social-Ecological Systems (SETS)","Supportive / advocated","Leadership; political will; community involvement; youth organizations; modern technology (Satark App)","Research deficiency on institutional adaptation to climate change; limited implementation data","Odisha State Disaster Management Authority (OSDMA); Odisha Disaster Rapid Action Force (ODRAF); village-level warning systems","Polycentric and multilayered institutions; participation and collaboration; self-organisation and networks; learning and innovation","Mentions political will and leadership","Inclusive approach; well-being of vulnerable populations including slum residents and agricultural communities","Flexible issue management; social learning; continuous knowledge growth; active participation","Strong institutional mechanisms (OSDMA, SIDM); empowerment of local institutions","Limited literature and data availability hampering assessment; weak documented links between governance/decision-making and climate-disaster adaptation (research gap, Fig.1); structural socioeconomic vulnerabilities (rural agrarian dependence, small landholdings, poverty, high density); incomplete coverage of recognition programs (only 26 of 381 tsunami-prone villages)","Resilience; disaster preparedness; decentralization","Not explicitly distinguished; AG is presented as an integrative, holistic, inclusive and responsive framework linking resilience and DRR and as a means to implement the Sendai Framework, rather than being differentiated from related concepts; distinctions are implied only through Djalante et al.'s four characteristics","State-level with village-level systems","Literature synthesis; government reports; institutional records","""Adaptive governance... presents a holistic, inclusive and responsive framework for managing disaster risks, making it particularly effective in developing regions facing climate-induced challenges."" (p.251)","Narrative literature review of Odisha disaster governance"
"4","Špirić, J. (2026)","Adaptability of Governance Structures and Processes for Sustainable Livestock in Jalisco, Mexico","https://doi.org/10.1111/ropr.70079","Jalisco, Mexico","Sustainable Livestock (SL) within the REDD+ framework","2016–2024","Qualitative content analysis combining document analysis (n=43), nine semi-structured expert interviews, and SWOT workshops with 30 local participants","Multilevel governance structures (TF-SPS, CTC-REDD+-Jal, and ECAs)","2016–2024","Governance that connects institutions and networks, mobilizes diverse forms of knowledge, and enables learning leading to behavioural change","Adaptive Governance and Policy Implementation scholarship grounded in CAS and SES theories","Mixed","Informal coordination; social learning platforms; local brokerage; multi-directional knowledge exchange","Institutional weakness; sectoral antagonism; informal power relations; reliance on external funding","Iterative revision of annual operating rules by FIPRODEFO and SEDER-Jal based on producer feedback","Collaboration; polycentricity; social learning; flexible responsiveness","Central analytical concern","Equity; social justice; legitimacy for policy continuity","Social learning; local brokerage; multi-level feedback loops","Decentralized inter-municipal environmental juntas (JIMAs) acting as neutral intermediaries","Centralized political traditions; power asymmetries; administrative turnover","Linked to REDD+ mechanism; silvopastoral systems; street-level bureaucracy","Distinguished from command-and-control approaches and conventional livestock approaches","Multilevel (local, inter-municipal, state, federal)","Qualitative interviews; workshops; document analysis","""Effective governance is increasingly understood as adaptive: it connects institutions and networks, mobilizes diverse forms of knowledge, and enables learning that leads to behavioral change."" (p.285)","Empirical qualitative study of sustainable livestock governance in Mexico"
"5","Sampaio, L. d. S., Silva, S. M. O. d., Montalvo, G. S. A., & Filho, F. d. A. d. S. (2026)","Toward Adaptive Regulation in Public Irrigation: Integrating the SES Framework into a Quantitative Governance Assessment","10.3390/su18063096","Brazil (semi-arid Northeast)","Public Irrigation Projects (PIPs) / Water Governance","2024–2026","Mixed-methods development of the SES Governance Index (SGI) using field missions, semi-structured interviews and PCA-based quantitative indicator weighting","Nine Public Irrigation Projects in Brazil","July 2024–March 2025","Learning processes, institutional flexibility, and coordination across multiple scales among stakeholders","Social–Ecological Systems (SES) framework (Elinor Ostrom)","Supportive / advocated","Strong managerial capacity; active user participation","Institutional fragility; power asymmetries; absence of standardized multidimensional assessment tools","Water User Associations associated with collective rule-making and monitoring","SES Governance Index (SGI): Resource System; Resource Units; Actors; Governance System; Outcomes","Mentions power asymmetries","Job creation; user participation","Learning processes; institutional flexibility; multi-scale coordination","Effective irrigator leadership; qualified technical and administrative staff; financial autonomy","Dependence on external support; internal disorganization; infrastructure deterioration","Linked to water security; resilience; adaptive water management","Distinguished from traditional regulatory approaches based on static rules and infrastructure performance","Federal agencies and project-level Water User Associations","Quantitative composite indicators and qualitative field mission data","""Traditional regulatory approaches... have proven insufficient to address the dynamic and uncertain nature of water systems."" (p.396)","Mixed-methods empirical assessment of irrigation governance"
"6","Singh et al. (2026)","Governance Models for Heritage Resource Management: Balancing Preservation, Tourism, and Community Empowerment","10.5281/zenodo.122.12622","Not reported (institutionally and contextually diverse case studies)","Heritage resource management","Not reported (no explicit study period stated)","Qualitative, comparative, interdisciplinary multi-case study","Heritage site governance systems","Not reported","Adaptive governance is a model integrating flexibility, learning and multi-level cooperation","Collaborative governance; Adaptive management; Empowerment theory","Supportive / advocated","Participatory practices; institutional flexibility; collaborative co-management","Power inequalities; institutional inflexibility; financial dependence on tourism","Joint participatory boards and local heritage committees in hybrid governance models","Sustainability Index; institutional flexibility measured through adaptive management initiatives","Bargaining among stakeholders; unequal power relations","Heritage justice; social equity; representation; equitable tourism benefit distribution","Feedback sessions; participatory monitoring; innovation mechanisms","Hybrid structures integrating formal authority with informal community leadership","Departmental silos; inflexible centralized structures","Sustainability; Resilience; Co-evolutionary stewardship","Not explicitly distinguished; AG is presented as complementary to and integrated with collaborative governance and co-management rather than differentiated; hybrid model framed as combining ""participatory co-management and adaptive learning mechanisms""; AG noted as originally from ""environmental and resource management discipline"" now extended to cultural heritage (p.11)","Multi-level (National, Regional, Local)","Triangulated interviews, document analysis and on-site observations","""They prioritize the horizontal integration of the governmental levels and the vertical interconnection of the state and society. The latter models are experimentable, community-oriented, and can evolve policy through feedback"" (p.4); ""adaptive capacity is the ability of governance structures to learn and react to emerging demands and is at the heart of sustainability"" (p.10); ""To sum up, the discussion has validated the fact
that sustainable heritage governance should be based
on the collaborative, adaptive, and justice-centered
principles. The best and most sustainable forms of
governance will be hybrid models which will
combine institutional authority with community
empowerment."" (p.12)","Comparative multi-case study of adaptive heritage governance"
"7","Paul, D., Thompson, B. S., & Farrelly, M. (2025)","Expanding theories of learning for adaptive governance: Civil society action on water security and environmental pollution","https://doi.org/10.1016/j.envsci.2025.104261","Johor State, Malaysia","Water Security / Environmental Pollution","2018–2021","Congruence analysis using policy assemblage (15 semi-structured interviews, media accounts, participant observation)","Civil society organizations (CSOs) and their governance actions","2018–2021","Periodic revisiting and active updating of institutions and management actions to reflect changing contexts and new knowledge","Multiple-loop learning (single, double and triple-loop); Political Ecology","Balanced / analytical","Activities designed around learning; repeated activities; actor embeddedness in communities","Information opacity; technically simple but politically safe activities; lack of data transparency","Youth science clubs conducting biodiversity monitoring; CSOs using video games for environmental learning","Operationalised via a novel analytical framework (Fig. 1) combining three learning-based ""governance actions"" (GA1 problem framing; GA2 knowledge creation and sharing; GA3 independent action) with three depths of learning (single-, double-, triple-loop), producing a 3x3 grid of cells (e.g., SF, DK, TI); activities characterised into cells based on purpose and method; single-loop = ""doing things right""; double-loop = ""what are the right things to do?""; triple-loop = ""how do we decide what things are right to do?"" / ""learning how to learn"" (Table 1, Figs. 1 and 4, p.1-3)","Central analytical concern","Social justice; Indigenous Peoples (Orang Asli); marginalised voices","Multiple-loop learning; reflexive feedback; mutual learning","Information sharing; data transparency; trust among actors","Vested interests; public apathy; pressure for quick infrastructure fixes","Linked to social learning; policy learning; greenwashing","Distinguished from technocratic approaches based solely on single-loop learning","Subnational (Johor State)","Triangulated interviews, media accounts and participant observation","""Adaptive governance is the periodic revisiting and active updating of institutions and management actions to reflect changing contexts and new knowledge."" (p.489)","Empirical qualitative study focusing on learning processes in adaptive governance"
"8","Li, M., Wu, M., Shan, X., & Chen, X. (2026)","Teacher Empowerment and Governance Pathways for Climate-Resilient Education Systems","https://doi.org/10.3390/su18063057","Global","Education Systems / Disaster Risk Reduction (DRR)","2000–2025","Scoping review (PRISMA-ScR) of 53 eligible studies","Education workforce (teachers) and education governance systems","2000–2025","Institutionalized flexibility through learning-based accountability rather than ex post facto sanctioning","Collaborative Governance; Crisis Management; Street-Level Bureaucracy","Supportive / advocated","Financed capacity; cross-sector coordination; learning-oriented accountability","Mandate–resource mismatch; accountability overload; unstable centralization–autonomy dynamics","Teacher-led preparedness planning and adaptive pedagogy through co-design","Governance pathways: Rules/Mandates; Capacities/Financing; Coordination/Networks; Accountability/Learning; Equity/Protection","Central analytical concern","Intersectional equity safeguards; cultural legitimacy","Governance-to-capability pathway; feedback loops; after-action reviews","Delegated decision rights; financed capacity; digital infrastructure","Punitive compliance regimes; audit-heavy reporting; blame-oriented performance regimes","Linked to climate resilience; disaster risk reduction; responsibilization","Distinguished from rebuilding schools by emphasizing institutionalized adaptiveness and learning loops","Multilevel (classroom, school, district, national)","Scoping review of peer-reviewed and grey literature","""Resilience is developed through the institutionalization of flexibility by learning-based accountability rather than ex post facto sanctioning."" (p.616)","Scoping review of governance pathways for climate-resilient education systems"
"9","Bushuyev, S., Wolff, C., Biletskyi, I., Chumachenko, I., & Bushuieva, V. (2026)","Strategic Management of Urban Sustainability and Resilience: Navigating the BANI Environment in Ukrainian Context","https://doi.org/10.3390/urbansci10020056","Kyiv, Ukraine","Post-conflict urban recovery, sustainability, and resilience","2025–2030","Socio-technical modelling integrating adaptive governance and circular-economy reconstruction with stochastic portfolio optimization, AI-enabled analytics, and urban digital twins","Kyiv reconstruction and urban management portfolio","2025–2030 (planning horizon)","Decision-making approach emphasizing collaboration, flexibility, and inclusivity","BANI framework; Social-Ecological Systems (SES); Ecosystem Theory","Supportive / advocated","AI-enabled analytics; IoT sensing; urban digital twins; participatory budgeting; agile procurement","Information ambiguity; anxiety-driven decision delays; infrastructure destruction; cybersecurity risks","Rapid reprogramming of the Kyiv Digital app for wartime civil protection and real-time alerts","Composite performance index F(t): service uptime, recovery speed, emissions intensity, equity of access","Central analytical concern","Equitable access to green and social infrastructure; health equity; inclusive digital literacy","Continuous monitoring; rapid learning cycles; iterative policy updates; participatory co-creation","Robust digital foundations (Diia, Trembita); secure-by-design digital architecture","Siloed programmes; classical long-range master plans","Positioned as successor to VUCA","Distinguished from traditional urban planning based on fixed long-term blueprints","Municipal / city level","Stochastic modelling; scenario analysis; qualitative synthesis of wartime municipal adaptation","""Adaptive governance has been a necessity. The city's municipal government demonstrated remarkable agility by rapidly reprogramming its public services app (Kyiv Digital)..."" (p.9)","Urban governance study in a post-conflict context using socio-technical modelling"
"10","Lira et al. (2025)","When Hell Froze Over in Texas: Evaluating State and Local Responses to Winter Storm Uri in February 2021 Through Adaptive Governance and Disaster Management Frameworks","10.1007/s11115-025-00880-7","Texas and San Antonio, USA","Disaster management; Climate-induced crisis","44228","Mixed-methods case study (document analysis and stakeholder interviews)","State and local government responses to Winter Storm Uri","February–March 2021 and post-crisis recovery","Adaptive governance is a flexible, collaborative approach integrating diverse stakeholder inputs while emphasizing learning and adaptation","Adaptive governance challenge framework; Disaster management cycle","Supportive / advocated","Horizontal collaboration; technological innovation; institutional learning","Representation gaps; fragmented decision-making; communication silos","Transit rerouting for warming centres; adaptive food distribution based on real-time feedback","Representation; decision-making; scientific learning; public learning; problem responsiveness","Legislative reforms; power politics surrounding electricity grid failures","Energy justice; focus on vulnerable populations and social equity","Continuous learning; problem responsiveness; resource sharing","Weatherization mandates; inclusive operational protocols","Infrastructure vulnerabilities; rigid governance; reactive planning","Resilience; Community resilience; Adaptive management","Presented as a roadmap integrated across the disaster management cycle","State and Local","Legislative journals, podcast transcripts and senior leader interviews","""Adaptive governance emerges not as a theory, but as a practical necessity for disaster management."" (p.1793); ""This unilateral decision-making made it difficult for the [San Antonio] EOC to deploy coordinated resources to targeted areas."" (CoSA, 2021a, pg. 31) (p.1804); ""Adaptive governance is more than a theoretical framework; it is a practical necessity in an era of escalating environmental volatility."" (p.1819)","Mixed-method case study evaluating adaptive governance during Winter Storm Uri"
